GeneSymbol	Desnoplastic	Stroma Activated	Immune classical	Pure classical	pure basal-like
SPARCL1	7.76557545614455	7.07251891985202	6.98853703132754	7.05078974778622	6.42870119950819
CERCAM	6.59156416618156	6.63104613782533	5.67384005077734	5.84598391110726	6.4231541116598
LRP5	6.29950867291779	6.70297717765027	6.43679478573037	7.04536578381345	6.40184089689825
MYH14	6.13225909922216	6.79229166512355	6.05501747457052	7.174702594016	6.32609414349412
CCL2	7.67473314302391	6.63063763644711	6.74871095419476	6.35945373948538	6.31860578194801
COL7A1	4.97125665727782	5.8763854621427	4.74444796798298	5.00165001658002	6.31543148889091
LPCAT4	5.82789879846396	6.50650888865764	6.03459183532049	6.92608821583331	6.30325056332326
ADM	4.5910775769688	5.40249779868798	4.03778737651606	4.44218325844142	6.28003366186424
TFF1	6.44420380268538	7.54114140942702	8.23573789400154	9.33412068800668	6.27930598124716
PFDN2	5.50978837096785	5.78839455382357	5.24151529587434	5.83623778313615	6.24749664107833
IGFBP4	7.17033797079746	6.63730278719746	6.24825923433704	6.4349947340222	6.23685871274035
IL1R1	7.40399470765619	6.92093317744391	7.06247897103498	6.44818346883609	6.23180157651927
LAMA5	5.29652290909405	5.67387370278893	5.00867493539672	5.57313998171624	6.1927814094039
TRIP10	5.4772348367397	5.81444574520714	5.05932001220181	5.66672312086706	6.1041369510389
ADAMTS12	5.87330297205997	6.2410415156535	5.19503494063378	5.47132925570902	6.09484907632349
MGST3	6.13344134800432	6.36865300509618	6.07679216209561	6.62750613406577	6.0713345486559
GFPT2	7.01716942341706	6.5204831880827	6.02595048899866	5.6152427356417	6.06257255847848
MMP11	5.81187807805012	6.84526048594031	5.32913744710874	5.83320516730587	6.05510847342124
GTF2IRD1	5.6386174235463	5.98634656370629	5.38987957516578	5.90444065062398	6.03450404660279
DUSP7	5.49224818646051	5.77505117004547	4.82853530505099	5.46647781459396	6.02688464666679
HCFC1R1	5.7275372461269	6.06399614202393	5.4191829980138	5.57590072993045	6.01003990049254
SNCG	4.99324221407194	5.19419281132777	4.76115427520037	4.76611028060883	5.96792980409774
PPP1R13L	5.2536272979364	5.65130277808254	5.26434376739476	5.38116325659403	5.96647558072014
MST1R	5.11524696585221	5.89313533533796	5.29978100352236	6.3579104210625	5.96633678691288
PPL	4.60176069278162	5.5136573531139	4.03613491110109	5.08574744315222	5.95429791080405
ANGPTL4	5.14124493008738	5.16107836004658	4.57241399083524	4.62990138346914	5.95372414278727
GNA15	5.0216293333131	5.29678543473477	4.42120561834222	4.94145589808651	5.95122788923241
MGST2	5.70430680109285	6.04405393830569	5.86435298544171	6.54966318497808	5.94404565987578
ADAMTS4	6.64233404034158	5.88927249774116	5.72029450087266	5.48839848402184	5.93554643250662
FAM83A	3.86858334117572	4.9225364207637	3.51751390703449	3.78643724503918	5.87684789942992
TSKU	5.9306152741188	5.98418240681547	5.20263528241598	5.64401110505149	5.87628906326118
GPX2	7.11188736122148	7.37480212215053	7.94310122713293	8.67877653290081	5.85679002978305
ADAMTS1	6.89766768347892	5.99083192852502	6.21591917702083	5.97649163145153	5.85648599859051
TSPAN8	7.27108350012956	7.9760002122347	8.2613133260693	9.12323345613483	5.84899629874006
ABCC3	6.29452643501669	6.78735504982832	6.51182801302313	7.31085451631273	5.84534737380685
FOXP4	6.18297475277453	6.22619108809584	6.42076753584149	6.44992634733409	5.83560054001815
DOK4	5.96558057891877	6.35861672732527	5.84275591845904	6.64828137158044	5.82709157389622
SPOCK1	5.84341475965738	6.11682518671981	5.23084080304704	5.10534714759163	5.81873823977164
THBS1	6.72259711464151	6.21784907481133	5.53948545752778	5.44762534816841	5.81512029308484
PDGFC	5.66318415563049	6.11114383104367	5.17780549285805	5.26048602641798	5.79545530706857
LGALS4	7.10594719435383	7.86277242825975	7.95708822635502	8.7792558212422	5.79191621336968
ALDH2	6.71490467327806	6.4291442888718	6.62201759735669	7.14811357983774	5.77672435598787
UBE2C	3.94124534620817	4.81526395849675	3.89179048279201	4.91417273176149	5.73334886551263
SRC	5.71161447951839	5.98141804691964	5.81337264029996	6.35421473152663	5.71012364460186
BACE2	5.70006029089304	5.89331709566871	5.78239587261995	6.57016984620381	5.68254109036369
PTPN14	5.23021772333844	5.52294670877585	4.61116542970876	5.08379281054007	5.65925925029867
KSR1	6.30941978998032	5.8063041734023	5.6871813806145	5.67826421965658	5.65535426526947
COMP	6.39885890408853	6.42760582925997	5.54848730189045	5.60002294741951	5.65370242294889
TBC1D2	5.03852072279089	5.25914972045933	4.7623223475023	4.9460495040369	5.65258280867022
TSPAN15	5.66627793155489	6.05699838680866	5.82151101931124	6.31211778572992	5.6477361831742
ITFG1	5.69706435449761	5.96845518476361	5.4482736673897	5.76690830806609	5.64421452004337
RBM47	5.77638831747125	6.0625830124245	6.13182370071918	6.62439512107594	5.63452115487923
GOLM1	5.81046654971204	6.14619307502954	6.26515154361315	6.90947698209772	5.60265125181633
GNG2	6.36507347418317	5.77897853008756	5.82100985397933	5.54757085058912	5.55624640669453
UCA1	4.29622341204222	5.86893820521457	4.33080038577529	4.58342449549681	5.55166806903769
BCAR3	4.35682672369706	4.84263905019396	4.18811131305387	4.46177518025838	5.54967393584809
ACSS1	5.96395837324861	5.69598361242475	6.539504395035	6.27252951354073	5.52883763423452
CMTM3	5.67478973960458	5.82675118374114	4.86618465480501	4.91947093385174	5.51806556933356
SAMHD1	6.6603291455033	5.94687514287583	6.49183961922443	5.97119407425868	5.50896141540321
HDHD3	5.66756786794821	5.77245571231343	5.89334835254781	6.38522476045599	5.4853224398982
CCDC80	6.94159516678121	6.04355062099317	5.8315417475871	5.42909639164391	5.46219290729226
LOXL1	5.93515636621428	5.9637850680345	5.04287785572974	5.2624603296094	5.45278516985547
TMEM45A	5.32171102383109	5.50539829321322	4.8343075549225	4.68089773353699	5.44670951802303
MAPK3	5.44703752976973	5.74411193665623	5.47613277698415	5.98719242321902	5.43681484363229
ERN2	5.41468221196247	5.81468843145298	5.83973052346466	6.52445467962622	5.43069182337209
CDK7	4.69434155653115	5.05070404446179	4.47478754929349	4.94557108014143	5.40711595188554
PDCD4	6.03630388412426	5.45161612374993	5.9551616308566	5.79147003067063	5.40454300156751
TST	5.48974690282748	5.62365197172001	5.89358678765536	6.27062215160966	5.3995243181848
MFGE8	5.34401231576297	5.65281857728886	4.63194093374136	5.16026804278004	5.39902924192041
WNT7B	3.93174516734971	4.72223770995276	3.63219294716519	4.06483210291371	5.39026779455058
NID2	5.98937162260561	5.66527398170478	5.12214774084207	4.99145311985556	5.38888789320122
THBS4	7.14016255985497	6.27192507498227	6.72309505044576	5.89177202229283	5.38418030604782
